胃体中部後壁の潰瘍底より湧出性出血	出血性胃潰瘍
胃体中部後壁の潰瘍底より湧出性出血	無し
胃体中部後壁の潰瘍底より湧出性出血	出血を伴う急性胃潰瘍
難聴（両耳）	難聴
難聴（両耳）	右耳難聴
難聴（両耳）	左耳難聴
鼻汁過多	無し
鼻汁過多	鼻汁
鼻汁過多	乳汁分泌過多
左慢性硬膜下血腫	慢性硬膜下血腫
左慢性硬膜下血腫	硬膜下血腫
左慢性硬膜下血腫	急性硬膜下血腫
食道静脈瘤←びらんあり	食道静脈瘤
食道静脈瘤←びらんあり	胃食道静脈瘤
食道静脈瘤←びらんあり	食道静脈瘤出血
右下顎骨骨膜炎	骨膜炎
右下顎骨骨膜炎	下顎骨折
右下顎骨骨膜炎	顎骨髄炎
左上腕の腫脹感	無し
左上腕の腫脹感	腕の腫脹
左上腕の腫脹感	腕の浮腫
胸水の増悪	胸水
胸水の増悪	腹水
胸水の増悪	悪性胸水
血清ＣＲＰ上昇	ＣＲＰ増加
血清ＣＲＰ上昇	血清総蛋白増加
血清ＣＲＰ上昇	血圧上昇
高コレステロール症	高コレステロール血症
高コレステロール症	コレステロール高値
高コレステロール症	無し
悪心（フェロミアによる）	処置による悪心
悪心（フェロミアによる）	悪心
悪心（フェロミアによる）	無し
慢性活動性ＥＢウイルス感染症	口腔ウイルス感染
慢性活動性ＥＢウイルス感染症	ＲＳウイルス感染
慢性活動性ＥＢウイルス感染症	Ｂ型ウイルス性肝炎
肝細胞癌増大傾向	肝細胞癌
肝細胞癌増大傾向	再発肝細胞癌
肝細胞癌増大傾向	肝嚢胞
ＣＡ１９－９高値	ＣＡ１９－９増加
ＣＡ１９－９高値	ＣＡ１２５増加
ＣＡ１９－９高値	ＡＬＴ高値
肝細胞癌の疑い	肝細胞癌
肝細胞癌の疑い	癌
肝細胞癌の疑い	再発肝細胞癌
血糖上昇	血糖値上昇
血糖上昇	血圧上昇
血糖上昇	無し
心筋症、タナトリルはこれの増悪予防目的の投与	心筋症
心筋症、タナトリルはこれの増悪予防目的の投与	予防
心筋症、タナトリルはこれの増悪予防目的の投与	無し
側彎症	側弯症
側彎症	側弯症手術
側彎症	乳腺症
嚥下性肺炎	誤嚥性肺炎
嚥下性肺炎	肺炎
嚥下性肺炎	無し
ＥＰＳ（腹膜硬化症）	進行性全身性硬化症
ＥＰＳ（腹膜硬化症）	腎硬化症
ＥＰＳ（腹膜硬化症）	動脈硬化症
皮膚の乾燥	皮膚乾燥
皮膚の乾燥	皮膚乾燥症
皮膚の乾燥	皮脂欠乏性皮膚炎
血清アミラーゼ値上昇	血清アミラーゼ増加
血清アミラーゼ値上昇	血中アミラーゼ増加
血清アミラーゼ値上昇	アミラーゼ高値
両指関節痛	手の関節痛
両指関節痛	関節痛
両指関節痛	下肢の関節痛
腸管出血	腸出血
腸管出血	大腸出血
腸管出血	出血性腸憩室
ホットフラッシュ	顔面発疹
ホットフラッシュ	潮紅
ホットフラッシュ	血管グラフト
交叉感染	感染
交叉感染	指感染
交叉感染	創傷感染
声門下組織に出血	皮下出血
声門下組織に出血	軟部組織出血
声門下組織に出血	メレナ
逆流食道炎	逆流性食道炎
逆流食道炎	食道逆流
逆流食道炎	無し
高血圧（６１才～）	高血圧
高血圧（６１才～）	血圧高値
高血圧（６１才～）	心血管障害の家族歴
網脈絡膜瘢痕	網脈絡膜萎縮
網脈絡膜瘢痕	網膜静脈閉塞
網脈絡膜瘢痕	中心性漿液性網膜症
左眼瞼下垂症	眼瞼下垂
左眼瞼下垂症	腫瘤
左眼瞼下垂症	眼瞼皮膚弛緩症
冠動脈ＣＴＡ	冠動脈コンピュータ断層撮影
冠動脈ＣＴＡ	冠動脈炎
冠動脈ＣＴＡ	冠動脈攣縮
左背部打撲	背部の挫傷
左背部打撲	胸の挫傷
左背部打撲	背部痛
播種性血管内凝固症候群（DIC）	溶血性尿毒症症候群
播種性血管内凝固症候群（DIC）	片側性手根管症候群
播種性血管内凝固症候群（DIC）	血栓症予防
抜歯による痛み	術後痛
抜歯による痛み	無し
抜歯による痛み	処置による疼痛
右眼黄斑円孔	黄斑円孔
右眼黄斑円孔	黄斑破裂
右眼黄斑円孔	黄斑変性
右手背切創	創傷出血
右手背切創	手の損傷ＮＯＳ
右手背切創	右半結腸切除
十二指腸潰瘍穿孔	穿孔性十二指腸潰瘍
